Due Date,Pick Date,Scheduler,WOB#,Customer,Finish,Notes to  Warehouse,Lines,Total Quantity,SQM Unscheduled,SQM Released,SQM In Process,SQM Closed
21/7/2025,7/7/2025,W-HOPV,WOB05650,- None -,W | GW215A METALLIC LUSTRE (CHARCOAL LUSTRE),**Darley stock** please pack in bundles,1,10,0,0,0,4.3
21/7/2025,7/7/2025,W-HOPV,WOB05651,- None -,W | 27251275 ANOTEC DARK GREY MATT,**Darley stock** please pack in bundles,1,5,0,0,0,25.63
21/7/2025,7/7/2025,W-HOPV,WOB05652,- None -,W | GY114A ANODIC BRONZE SATIN,**Darley stock** please pack in bundles,1,5,0,0,0,4.88
21/7/2025,7/7/2025,W-HOPV,WOB05653,- None -,W | 2722266M SURFMIST MATT (BOND OFFWHITE),Darley stock - EXPRESS,1,6,0,0,0,8.46
21/7/2025,7/7/2025,W-HOPV,WOB05656,C02596 TARCHIUS ANTONEY T/A AUSCO BUILD,W | GY235A ANODIC NATURAL MATT (SILVER LUSTRE),Please pack in bundles,22,49,0,0,0,81.27
21/7/2025,7/7/2025,W-HOPV,WOB05657,C02048 DOOR STOP,W | GA078A PEARL WHITE GLOSS,- None -,7,10,0,0,0,22.82
21/7/2025,10/7/2025,N-ESKP,WOB05731,C00134 WORLD CLASS REPLACEMENT WINDOWS,N | Universal Clear - 25um - Non-Bulk,UNIVERSAL,1,1,0,0,0,1.67
21/7/2025,10/7/2025,V-KYSB,WOB05743,C03268 ETERNAL GLASS & ALUMINIUM(THE TRUSTEE FOR INHINDSIGHT TST T/,NV | 272-19268 Black Satin (Night Sky),CPO: PILLOW TALK B/O,1,4,0,0,0,18.98
21/7/2025,14/7/2025,V-KYSB,WOB05827,C02399 AVISTA WINDOWS (AVISTA WINDOWS MANAGEMENT T/A),NV | GL229A Monument Matt,CPO 07884,3,3,0,0,0,2.9
21/7/2025,14/7/2025,V-KYSB,WOB05830,C01758 M & L NAYLOR PTY LTD,NV | 272-1137S Surfmist Satin,CPO DERBY ST,23,39,0,0,0,97.64
21/7/2025,14/7/2025,V-KYSB,WOB05854,C01954 JCE WINDOWS & GLASS (THE TRUSTEE FOR GRISCTI FAMILY TRUST),NV | 272-19268 Black Satin (Night Sky),CPO-1331,2,2,0,0,0,5.12
21/7/2025,14/7/2025,V-KYSB,WOB05856,C01763 STEVENS GLASS,NV | 272-19268 Black Satin (Night Sky),CPO-02922PY,8,15,0,0,0,30.43
21/7/2025,14/7/2025,V-KYSB,WOB05860,C01763 STEVENS GLASS,NV | 272-1139M White Matt,CPO ARCARE FINAL ORDER,40,483,0,0,0,875.87
21/7/2025,15/7/2025,V-KYSB,WOB05871,C02074 ALUGLASS PARTITIONS AND SHOP FRONTS (THE TRTEE FOR ALUGLASS,NV | 272-1139S White Satin,CPO: 30932,12,18,0,0,0,27.85
21/7/2025,15/7/2025,V-KYSB,WOB05877,C02201 BCS GLASS PTY LTD,Q | 91T-7160S Silver Kinetic Pearl Satin,CPO - ANDRES UNITS,20,66,0,0,0,105.2
21/7/2025,15/7/2025,V-KYSB,WOB05878,C02074 ALUGLASS PARTITIONS AND SHOP FRONTS (THE TRTEE FOR ALUGLASS,NV | 272-7559M Windspray Matt,CPO: 30935,18,86,0,0,0,155.83
21/7/2025,15/7/2025,V-KYSB,WOB05886,C01714 PROGUARD SCREENS(ECO HOME CORPORATE INVESTMENTS P/L TRADING,NV | 272-1139M White Matt,CPO - PG3801 PO8227,1,100,0,0,0,58
21/7/2025,15/7/2025,V-KYSB,WOB05889,C01763 STEVENS GLASS,NV | 906-8183F Electro Medium Bronze Kinetic Flat *1.5,CPO: 02931PY + HARDWARE,22,78,0,0,0,248.09
21/7/2025,15/7/2025,V-KYSB,WOB05897,C01763 STEVENS GLASS,NV | 984-19959 Flame Red Gloss *,CPO: 02934PY,5,44,0,0,0,87.72
21/7/2025,15/7/2025,V-KYSB,WOB05902,C01479 XN ALUMINIUM WINDOWS PTY LTD,NV | 272-1139S White Satin,CPO: 10 Bryon St - Footscray + MILL & HARDWARE,17,90,0,0,0,147.22
21/7/2025,16/7/2025,N-ESKP,WOB05632,C03392 BRAX GROUP SYD PTY LTD T/AS WRS WINDOWS & DOORS,NV | 272-19319 Black Matt,B/O,1,4,0,0,0,12.64
21/7/2025,16/7/2025,N-ESKP,WOB05719,C00572 IRON GATE PTY LTD,NV | 272-19319 Black Matt,CUST-EXT,1,20,0,0,0,16
21/7/2025,16/7/2025,N-ESKP,WOB05762,C03392 BRAX GROUP SYD PTY LTD T/AS WRS WINDOWS & DOORS,NV | 272-2266M Surfmist Matt *,B/O,1,9,0,0,0,28.44
